Node ID,Distance,Conductance,Type,EPSP
69,210.4617471204462,0.4,apic,0.29448779865769836
70,126.69388733406447,0.4,dend,0.37511544576908307
71,119.19831780561462,0.4,dend,0.3729152344076141
72,978.2791161820779,0.4,apic,0.06448842975493108
73,125.34785430040972,0.4,dend,0.3791334085180438
74,591.2058660395061,0.4,apic,0.13762433751941217
75,166.66555180618144,0.4,dend,0.29066124039478325
76,187.49904621726995,0.4,apic,0.30266965697884984
77,63.15924307395112,0.4,dend,0.3835205738972718
78,354.2599060505388,0.4,apic,0.22059539762878444
79,359.76838909913823,0.4,apic,0.2106859610441063
80,145.16818505228014,0.4,dend,0.3407296816763363
81,172.58036452692494,0.4,dend,0.3435053655553446
82,223.51037200295212,0.4,dend,0.3476986898925958
83,159.55687396065298,0.4,dend,0.31224322217207146
84,1160.4550631470565,0.4,apic,0.03838908333591462
85,146.36459889218844,0.4,dend,0.3563568362903595
86,1105.1821706953726,0.4,apic,0.05505712476217184
87,999.7698750450477,0.4,apic,0.06208876878548608
88,324.23749899931823,0.4,apic,0.22605462715490887
89,143.422687241373,0.4,dend,0.3527567326688654
90,125.34785430040972,0.4,dend,0.3791334085180438
91,283.14649180641305,0.4,apic,0.27913562096307487
92,1042.5024963743288,0.4,apic,0.055559944882816126
93,795.6720588997864,0.4,apic,0.07911436673248318
94,73.15339736778739,0.4,dend,0.37311289371113787
95,54.42691513006233,0.4,dend,0.3794247976007199
96,1151.4676333019793,0.4,apic,0.016892663695003307
97,962.3558687813563,0.4,apic,0.04040142886925935
98,827.6286096659444,0.4,apic,0.08813103226077601
99,381.95239250561684,0.4,apic,0.20406775258344112
100,386.6853090271192,0.4,apic,0.20489499028103353
101,940.8389239528508,0.4,apic,0.06761206279625753
102,273.0288810798539,0.4,apic,0.26938328983314364
103,97.73142930013243,0.4,dend,0.3708866927281207
104,49.484739032008434,0.4,dend,0.39708891692684745
105,148.4577176078409,0.4,dend,0.35274225521183666
106,131.4997229334096,0.4,dend,0.3280220908624898
107,72.55771256930629,0.4,dend,0.38284819638948875
108,1048.406655626261,0.4,apic,0.05088375757850372
109,236.03288425906243,0.4,dend,0.3185086369454808
110,1067.0813902130603,0.4,apic,0.04817647411593384
111,82.62241046888647,0.4,dend,0.35467179401587146
112,1191.8338749482448,0.4,apic,0.012962047087853534
113,143.422687241373,0.4,dend,0.3527567326688654
114,62.29762052507359,0.4,dend,0.39395295300438704
115,82.62241046888647,0.4,dend,0.35467179401587146
116,232.7139044414883,0.4,apic,0.27120288303403584
117,236.90947113093318,0.4,apic,0.2875703965845844
118,1151.7151685370425,0.4,apic,0.01614166829178032
119,886.396013799319,0.4,apic,0.07985143724884836
120,177.61560103233853,0.4,dend,0.3579958470894269
