channel x_pos y_pos z_pos
406 -24 -1265.7 1124.3
407 8 -1265.7 1124.3
408 -8 -1251.6 1110.2
409 24 -1251.6 1110.2
410 -24 -1237.4 1096
411 8 -1237.4 1096
412 -8 -1223.3 1081.9
413 24 -1223.3 1081.9
414 -24 -1209.2 1067.7
415 8 -1209.2 1067.7
416 -8 -1195 1053.6
417 24 -1195 1053.6
418 -24 -1180.9 1039.4
419 8 -1180.9 1039.4
420 -8 -1166.7 1025.3
421 24 -1166.7 1025.3
422 -24 -1152.6 1011.2
423 8 -1152.6 1011.2
424 -8 -1138.4 997.02
425 24 -1138.4 997.02
426 -24 -1124.3 982.88
427 8 -1124.3 982.88
428 -8 -1110.2 968.74
429 24 -1110.2 968.74
430 -24 -1096 954.59
431 8 -1096 954.59
432 -8 -1081.9 940.45
433 24 -1081.9 940.45
434 -24 -1067.7 926.31
435 8 -1067.7 926.31
436 -8 -1053.6 912.17
437 24 -1053.6 912.17
438 -24 -1039.4 898.03
439 8 -1039.4 898.03
440 -8 -1025.3 883.88
441 24 -1025.3 883.88
442 -24 -1011.2 869.74
443 8 -1011.2 869.74
444 -8 -997.02 855.6
445 24 -997.02 855.6
446 -24 -982.88 841.46
447 8 -982.88 841.46
448 -8 -968.74 827.31
449 24 -968.74 827.31
450 -24 -954.59 813.17
451 8 -954.59 813.17
452 -8 -940.45 799.03
453 24 -940.45 799.03
454 -24 -926.31 784.89
455 8 -926.31 784.89
456 -8 -912.17 770.75
457 24 -912.17 770.75
458 -24 -898.03 756.6
459 8 -898.03 756.6
460 -8 -883.88 742.46
461 24 -883.88 742.46
462 -24 -869.74 728.32
463 8 -869.74 728.32
464 -8 -855.6 714.18
465 24 -855.6 714.18
466 -24 -841.46 700.04
467 8 -841.46 700.04
468 -8 -827.31 685.89
469 24 -827.31 685.89
470 -24 -813.17 671.75
471 8 -813.17 671.75
472 -8 -799.03 657.61
473 24 -799.03 657.61
474 -24 -784.89 643.47
475 8 -784.89 643.47
476 -8 -770.75 629.33
477 24 -770.75 629.33
478 -24 -756.6 615.18
479 8 -756.6 615.18
480 -8 -742.46 601.04
481 24 -742.46 601.04
482 -24 -728.32 586.9
483 8 -728.32 586.9
484 -8 -714.18 572.76
485 24 -714.18 572.76
486 -24 -700.04 558.61
487 8 -700.04 558.61
488 -8 -685.89 544.47
489 24 -685.89 544.47
490 -24 -671.75 530.33
491 8 -671.75 530.33
492 -8 -657.61 516.19
493 24 -657.61 516.19
494 -24 -643.47 502.05
495 8 -643.47 502.05
496 -8 -629.33 487.9
497 24 -629.33 487.9
498 -24 -615.18 473.76
499 8 -615.18 473.76
500 -8 -601.04 459.62
501 24 -601.04 459.62
502 -24 -586.9 445.48
503 8 -586.9 445.48
504 -8 -572.76 431.34
505 24 -572.76 431.34
506 -24 -558.61 417.19
507 8 -558.61 417.19
508 -8 -544.47 403.05
509 24 -544.47 403.05
510 -24 -530.33 388.91
511 8 -530.33 388.91
512 -8 -516.19 374.77
513 24 -516.19 374.77
514 -24 -502.05 360.62
515 8 -502.05 360.62
516 -8 -487.9 346.48
517 24 -487.9 346.48
518 -24 -473.76 332.34
519 8 -473.76 332.34
520 -8 -459.62 318.2
521 24 -459.62 318.2
522 -24 -445.48 304.06
523 8 -445.48 304.06
524 -8 -431.34 289.91
525 24 -431.34 289.91
526 -24 -417.19 275.77
527 8 -417.19 275.77
528 -8 -403.05 261.63
529 24 -403.05 261.63
530 -24 -388.91 247.49
531 8 -388.91 247.49
532 -8 -374.77 233.35
533 24 -374.77 233.35
534 -24 -360.62 219.2
535 8 -360.62 219.2
536 -8 -346.48 205.06
537 24 -346.48 205.06
538 -24 -332.34 190.92
539 8 -332.34 190.92
540 -8 -318.2 176.78
541 24 -318.2 176.78
542 -24 -304.06 162.63
543 8 -304.06 162.63
544 -8 -289.91 148.49
545 24 -289.91 148.49
546 -24 -275.77 134.35
547 8 -275.77 134.35
548 -8 -261.63 120.21
549 24 -261.63 120.21
550 -24 -247.49 106.07
551 8 -247.49 106.07
552 -8 -233.35 91.924
553 24 -233.35 91.924
554 -24 -219.2 77.782
555 8 -219.2 77.782
556 -8 -205.06 63.64
557 24 -205.06 63.64
558 -24 -190.92 49.497
559 8 -190.92 49.497
560 -8 -176.78 35.355
561 24 -176.78 35.355
562 -24 -162.63 21.213
563 8 -162.63 21.213
564 -8 -148.49 7.0711
565 24 -148.49 7.0711
566 -24 -134.35 -7.0711
567 8 -134.35 -7.0711
568 -8 -120.21 -21.213
569 24 -120.21 -21.213
570 -24 -106.07 -35.355
571 8 -106.07 -35.355
572 -8 -91.924 -49.497
573 24 -91.924 -49.497
574 -24 -77.782 -63.64
575 8 -77.782 -63.64
576 -8 -63.64 -77.782
577 24 -63.64 -77.782
578 -24 -49.497 -91.924
579 8 -49.497 -91.924
580 -8 -35.355 -106.07
581 24 -35.355 -106.07
582 -24 -21.213 -120.21
583 8 -21.213 -120.21
